,user,date,pageId,timeOnPage
97,5bc0abd6def82a3ad52e8527,2018-11-28 12:31:52.083000+00:00,574ef7f0-726a-4993-7aa5-0e355ae57df6,0 days 00:00:03.258000000
98,5bc0abd6def82a3ad52e8527,2018-11-28 12:31:55.341000+00:00,edce1ebf-9573-4858-63bc-4d1dcf4700b8,0 days 00:00:22.869000000
99,5bc0abd6def82a3ad52e8527,2018-11-28 12:32:18.210000+00:00,6d77c836-c34f-44bd-43d4-2c9f02af7052,0 days 00:02:22.579000000
100,5bc0abd6def82a3ad52e8527,2018-11-28 12:34:40.789000+00:00,0abfa6e7-be7d-4efa-3e66-e604d84d2359,0 days 00:00:52.643000000
101,5bc0abd6def82a3ad52e8527,2018-11-28 12:35:33.432000+00:00,a87605ba-4ad9-42e3-e14f-c3126d506fde,0 days 00:00:17.091000000
102,5bc0abd6def82a3ad52e8527,2018-11-28 12:35:50.523000+00:00,7040ae0a-6593-496c-d19d-de052fe22967,0 days 00:00:04.344000000
103,5bc0abd6def82a3ad52e8527,2018-11-28 12:35:54.867000+00:00,ff5e1bc5-9c28-4936-71c7-dd8f41363f76,0 days 00:03:18.381000000
104,5bc0abd6def82a3ad52e8527,2018-11-28 12:39:13.248000+00:00,1a1010f4-0711-46f8-2731-fcadf4579ec5,0 days 00:00:03.637000000
105,5bc0abd6def82a3ad52e8527,2018-11-28 12:39:16.885000+00:00,58e3e768-f3f8-40d2-0f53-066a39568ef8,0 days 00:00:46.457000000
106,5bc0abd6def82a3ad52e8527,2018-11-28 12:40:03.342000+00:00,c56a29d1-0564-403b-8a82-0697a3d40080,0 days 00:00:03.001000000
107,5bc0abd6def82a3ad52e8527,2018-11-28 12:40:06.343000+00:00,dafd6c3f-9bed-4879-d90b-20001528504b,0 days 00:06:02.415000000
108,5bc0abd6def82a3ad52e8527,2018-11-28 12:46:08.758000+00:00,3c448b17-5737-417a-48ae-e88b7945103f,0 days 00:00:55.901000000
109,5bc0abd6def82a3ad52e8527,2018-11-28 12:47:04.659000+00:00,0495f7ae-f008-43cd-9369-79f39d84c8ec,0 days 00:00:07.451000000
112,5bd6f1badef82a3ad53a2330,2018-10-31 15:30:04.051000+00:00,1ed5a659-7032-41cf-03e9-82effaf98552,0 days 00:00:19.189000000
113,5bd6f1badef82a3ad53a2330,2018-10-31 15:30:23.240000+00:00,9a2c0781-eda8-4336-b4c2-96862f9d0e19,0 days 00:01:03.294000000
114,5bd6f1badef82a3ad53a2330,2018-10-31 15:31:26.534000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:00:13.603000000
115,5bd6f1badef82a3ad53a2330,2018-10-31 15:31:40.137000+00:00,1ed5a659-7032-41cf-03e9-82effaf98552,0 days 00:06:49.953000000
116,5bd6f1badef82a3ad53a2330,2018-10-31 15:38:30.090000+00:00,9a2c0781-eda8-4336-b4c2-96862f9d0e19,0 days 00:01:07.201000000
117,5bd6f1badef82a3ad53a2330,2018-10-31 15:39:37.291000+00:00,95d1dd93-f1c1-41de-943c-de1409aff580,0 days 00:24:29.926000000
118,5bd6f1badef82a3ad53a2330,2018-10-31 16:04:07.217000+00:00,893861b0-fa80-483e-ed94-e405e91ee0b6,0 days 00:05:14.579000000
119,5bd6f1badef82a3ad53a2330,2018-10-31 16:09:21.796000+00:00,8bf230cc-42fa-4cd2-3eb9-d16480cd7094,0 days 00:00:29.554000000
120,5bd6f1badef82a3ad53a2330,2018-10-31 16:09:51.350000+00:00,2091fc6e-94bb-4940-65b1-4f197ffec78c,0 days 00:04:41.966000000
